Message type,Repeat indicator,MMSI,Navigational status,"Rate of Turn
(ROT)","Speed of ground
(SOG)",Position Accuracy,Longitude,Latitude,"Course of ground
(COG)","True Heading
(HDG)",Time Stamp,"Reserved for
regional
applications",Spare,Raim flag,Radio status,Vessel Name,Type
4,0,4405505,1,249,66.4,1,12.925,37.825,187.6,15,32,0,0,0,2250,,
4,0,4405505,1,249,66.4,1,13.062,37.82,187.8,151,32,0,0,0,115260,,
4,0,4405505,1,249,66.4,1,13.983,36.7,187.8,223,32,0,0,0,115251,,
4,0,4405505,1,249,66.4,1,14.154,37.828,187.8,103,32,0,0,0,98323,,
4,0,4405505,1,249,66.4,1,14.236,37.853,187.8,103,32,0,0,0,98679,,
4,0,4405505,1,249,66.4,1,14.591,37.82,187.8,319,32,0,0,0,65555,,
4,0,4405505,1,249,66.4,1,14.673,37.82,187.8,343,32,0,0,0,65911,,
4,0,4405505,1,249,66.4,1,15.294,36.71,187.8,367,32,0,0,0,16920,,
4,0,4405505,1,249,66.4,1,15.465,36.715,187.8,319,32,0,0,0,2250,,
4,0,4405505,1,249,66.4,1,15.512,36.72,187.8,223,32,0,0,0,2250,,
4,0,4405505,1,249,66.4,1,15.731,37.828,187.8,247,32,0,0,0,115255,,
4,0,4405505,1,249,66.4,1,15.902,37.83,187.8,415,32,0,0,0,98323,,
4,0,4405505,1,249,66.4,1,15.983,37.82,187.8,439,32,0,0,0,98679,,
4,0,4405505,1,249,66.4,1,15.949,36.712,187.8,391,32,0,0,0,99429,,
4,0,4405505,1,249,66.4,1,16.202,37.787,187.8,295,32,0,0,0,82482,,
4,0,4405505,1,249,66.4,1,16.386,36.715,187.8,415,32,0,0,0,66661,,
4,0,4405505,1,249,66.4,1,16.639,36.715,187.8,343,32,0,0,0,49724,,
4,0,4405505,1,249,66.4,1,16.605,36.71,187.8,319,32,0,0,0,49732,,
4,0,4405505,1,249,66.4,1,16.823,36.71,187.8,295,32,0,0,0,33893,,
