"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		152",울산,2012-08-01,28.6,34,13:16,24.4,5:58,9.6
"		152",울산,2012-08-02,28.9,32.9,14:09,26.6,23:42,6.3
"		152",울산,2012-08-03,28.4,33.6,13:29,26,4:58,7.6
"		152",울산,2012-08-04,28.2,32,14:41,25.6,3:33,6.4
"		152",울산,2012-08-05,28.9,33.4,14:23,24.7,2:25,8.7
"		152",울산,2012-08-06,27.9,31.9,12:52,25.5,4:28,6.4
"		152",울산,2012-08-07,27.4,31.4,14:40,25.5,2:02,5.9
"		152",울산,2012-08-08,26.3,30.1,13:00,23.4,5:55,6.7
"		152",울산,2012-08-09,26.8,32.7,12:28,22,4:46,10.7
"		152",울산,2012-08-10,26.9,32.1,11:20,24.4,20:43,7.7
"		152",울산,2012-08-11,27.9,33.8,13:59,23.9,4:54,9.9
"		152",울산,2012-08-12,27.4,32.8,11:20,25.1,5:34,7.7
"		152",울산,2012-08-13,26,29.4,16:05,23.7,22:07,5.7
"		152",울산,2012-08-14,24.8,28.5,13:52,23.1,4:58,5.4
"		152",울산,2012-08-15,28.2,31.4,11:55,23.7,0:03,7.7
"		152",울산,2012-08-16,28.3,34.2,14:11,23.9,23:52,10.3
"		152",울산,2012-08-17,26.6,31,15:15,23.7,3:24,7.3
"		152",울산,2012-08-18,29.3,34.7,13:16,24.6,5:46,10.1
"		152",울산,2012-08-19,29.4,33.9,12:19,26.7,6:05,7.2
"		152",울산,2012-08-20,28.3,32.8,13:34,25.8,5:13,7
"		152",울산,2012-08-21,28.5,32.9,14:15,24.5,5:30,8.4
"		152",울산,2012-08-22,25,27.3,0:33,22.8,23:20,4.5
"		152",울산,2012-08-23,21.4,23.2,0:01,20.6,20:37,2.6
"		152",울산,2012-08-24,21,22.1,15:51,20.3,9:06,1.8
"		152",울산,2012-08-25,25.3,31.7,12:58,20.7,2:07,11
"		152",울산,2012-08-26,26.6,31.5,14:08,21.9,5:15,9.6
"		152",울산,2012-08-27,27.7,30.4,11:43,24.5,4:28,5.9
"		152",울산,2012-08-28,26.6,28.6,1:22,25.4,12:21,3.2
"		152",울산,2012-08-29,28,32.4,14:55,24.8,5:45,7.6
"		152",울산,2012-08-30,25.2,27.5,13:46,22.9,23:57,4.6
"		152",울산,2012-08-31,22.1,26.1,15:24,19,6:06,7.1
"		152",울산,2013-08-01,26.8,31.5,11:13,24.3,21:43,7.2
"		152",울산,2013-08-02,26.5,29.5,14:23,24.6,2:15,4.9
"		152",울산,2013-08-03,28.9,34,12:16,24.9,5:36,9.1
"		152",울산,2013-08-04,28.7,35.6,14:06,25.2,23:07,10.4
"		152",울산,2013-08-05,29.9,35.1,14:06,25.1,1:48,10
"		152",울산,2013-08-06,30.1,36.9,15:30,25.7,5:04,11.2
"		152",울산,2013-08-07,30.8,36.8,12:49,25.4,5:22,11.4
"		152",울산,2013-08-08,32.7,38.8,14:08,27.8,5:25,11
"		152",울산,2013-08-09,33.1,38.4,15:03,28.8,0:50,9.6
"		152",울산,2013-08-10,32.4,38.6,14:16,27.6,5:54,11
"		152",울산,2013-08-11,31.3,36.9,12:51,26.9,5:35,10
"		152",울산,2013-08-12,31.6,36.6,11:54,27.6,4:55,9
"		152",울산,2013-08-13,31.7,37.2,13:42,26.5,6:10,10.7
"		152",울산,2013-08-14,30.4,34.4,11:09,26.2,6:19,8.2
"		152",울산,2013-08-15,30.2,36.7,14:01,25.8,5:58,10.9
"		152",울산,2013-08-16,30.7,36.7,14:55,25.7,5:50,11
"		152",울산,2013-08-17,30.7,36.4,13:58,25.4,5:30,11
"		152",울산,2013-08-18,31.5,37.2,15:15,26.3,5:08,10.9
